salario,Feminino,Masculino,min,max
0,1.0,5.0,0,1000
500,1.0,5.0,0,1000
1000,4.0,14.0,1000,2000
1500,4.0,14.0,1000,2000
2000,9.0,18.0,2000,3000
2500,9.0,18.0,2000,3000
3000,5.0,32.0,3000,4000
3500,5.0,32.0,3000,4000
4000,17.0,60.0,4000,6000
4500,17.0,60.0,4000,6000
5000,17.0,60.0,4000,6000
5500,17.0,60.0,4000,6000
6000,19.0,49.0,6000,8000
6500,19.0,49.0,6000,8000
7000,19.0,49.0,6000,8000
7500,19.0,49.0,6000,8000
8000,22.0,45.0,8000,12000
8500,22.0,45.0,8000,12000
9000,22.0,45.0,8000,12000
9500,22.0,45.0,8000,12000
10000,22.0,45.0,8000,12000
10500,22.0,45.0,8000,12000
11000,22.0,45.0,8000,12000
11500,22.0,45.0,8000,12000
12000,4.0,11.0,12000,16000
12500,4.0,11.0,12000,16000
13000,4.0,11.0,12000,16000
13500,4.0,11.0,12000,16000
14000,4.0,11.0,12000,16000
14500,4.0,11.0,12000,16000
15000,4.0,11.0,12000,16000
15500,4.0,11.0,12000,16000
16000,0.0,1.0,16000,20000
16500,0.0,1.0,16000,20000
17000,0.0,1.0,16000,20000
17500,0.0,1.0,16000,20000
18000,0.0,1.0,16000,20000
18500,0.0,1.0,16000,20000
19000,0.0,1.0,16000,20000
19500,0.0,1.0,16000,20000
20000,1.0,3.0,20000,25000
20500,1.0,3.0,20000,25000
21000,1.0,3.0,20000,25000
21500,1.0,3.0,20000,25000
22000,1.0,3.0,20000,25000
22500,1.0,3.0,20000,25000
23000,1.0,3.0,20000,25000
23500,1.0,3.0,20000,25000
24000,1.0,3.0,20000,25000
24500,1.0,3.0,20000,25000
25000,0.0,3.0,25000,30000
25500,0.0,3.0,25000,30000
26000,0.0,3.0,25000,30000
26500,0.0,3.0,25000,30000
27000,0.0,3.0,25000,30000
27500,0.0,3.0,25000,30000
28000,0.0,3.0,25000,30000
28500,0.0,3.0,25000,30000
29000,0.0,3.0,25000,30000
29500,0.0,3.0,25000,30000
30000,1.0,0.0,30000,40000
30500,1.0,0.0,30000,40000
31000,1.0,0.0,30000,40000
31500,1.0,0.0,30000,40000
32000,1.0,0.0,30000,40000
32500,1.0,0.0,30000,40000
33000,1.0,0.0,30000,40000
33500,1.0,0.0,30000,40000
34000,1.0,0.0,30000,40000
34500,1.0,0.0,30000,40000
35000,1.0,0.0,30000,40000
35500,1.0,0.0,30000,40000
36000,1.0,0.0,30000,40000
36500,1.0,0.0,30000,40000
37000,1.0,0.0,30000,40000
37500,1.0,0.0,30000,40000
38000,1.0,0.0,30000,40000
38500,1.0,0.0,30000,40000
39000,1.0,0.0,30000,40000
39500,1.0,0.0,30000,40000
40000,0.0,0.0,40000,50000
40500,0.0,0.0,40000,50000
41000,0.0,0.0,40000,50000
41500,0.0,0.0,40000,50000
42000,0.0,0.0,40000,50000
42500,0.0,0.0,40000,50000
43000,0.0,0.0,40000,50000
43500,0.0,0.0,40000,50000
44000,0.0,0.0,40000,50000
44500,0.0,0.0,40000,50000
45000,0.0,0.0,40000,50000
45500,0.0,0.0,40000,50000
46000,0.0,0.0,40000,50000
46500,0.0,0.0,40000,50000
47000,0.0,0.0,40000,50000
47500,0.0,0.0,40000,50000
48000,0.0,0.0,40000,50000
48500,0.0,0.0,40000,50000
49000,0.0,0.0,40000,50000
49500,0.0,0.0,40000,50000
